memory_mode,variant,size_bytes,queue_depth,total_bytes,status,started_at_taipei,done_at_taipei,final_cycle,t_request_cycle,t_link_occupied_cycle,t_link_sum_cycle,t_nonlink_wall_cycle,p_link_occupied_fraction,link_sum_over_request,throughput_bytes_per_cycle,bench_records,delay_records,popnet_tx_count,popnet_finished,error,run_dir
cold,pcie,4096,1,4096,OK,2026-08-21 20:56:24,2026-08-21 20:56:31,50824986,50824986,1951000.000000,1951000.000000,48873986.000000,0.0383866313313,0.0383866313313,8.05902828975e-05,2,2,2,2,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_4096_qd1
cold,pcie,4096,2,8192,OK,2026-08-21 20:56:31,2026-08-21 20:56:39,95173973,95173973,2932000.000000,3909000.000000,92241973.000000,0.0308067416709,0.0410721532031,8.60739521718e-05,4,4,4,4,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_4096_qd2
cold,pcie,4096,4,16384,OK,2026-08-21 20:56:39,2026-08-21 20:56:47,184797947,184797947,5820000.000000,8772000.000000,178977947.000000,0.0314938563684,0.0474680598048,8.8658993598e-05,8,8,8,8,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_4096_qd4
cold,pcie,4096,8,32768,OK,2026-08-21 20:56:47,2026-08-21 20:56:56,363125895,363125895,10676000.000000,22254000.000000,352449895.000000,0.0294002717708,0.0612845305345,9.02386760382e-05,16,16,16,16,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_4096_qd8
cold,pcie,4096,16,65536,OK,2026-08-21 20:56:56,2026-08-21 20:57:04,377891903,377891903,21310000.000000,64305000.000000,356581903.000000,0.0563917877859,0.170167710632,0.000173425255952,32,32,32,32,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_4096_qd16
cold,pcie,16384,1,16384,OK,2026-08-21 21:10:55,2026-08-21 21:11:02,58556986,58556986,7583000.000000,7583000.000000,50973986.000000,0.129497785286,0.129497785286,0.000279795821458,2,2,2,2,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_16384_qd1
cold,pcie,16384,2,32768,OK,2026-08-21 21:11:02,2026-08-21 21:11:10,102907973,102907973,11382000.000000,15179000.000000,91525973.000000,0.110603674994,0.147500718919,0.000318420420155,4,4,4,4,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_16384_qd2
cold,pcie,16384,4,65536,OK,2026-08-21 21:11:10,2026-08-21 21:11:19,113662975,113662975,22721000.000000,34121000.000000,90941975.000000,0.199897987889,0.300194500452,0.00057658177608,8,8,8,8,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_16384_qd4
cold,pcie,16384,8,131072,OK,2026-08-21 21:11:19,2026-08-21 21:11:27,131439979,131439979,41666000.000000,87040000.000000,89773979.000000,0.31699639879,0.66220339247,0.000997200402779,16,16,16,16,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_16384_qd8
cold,pcie,16384,16,262144,OK,2026-08-21 21:11:27,2026-08-21 21:11:35,170690987,170690987,77700000.000000,253008000.000000,92990987.000000,0.45520856939,1.48225752541,0.00153578114819,32,32,32,32,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_16384_qd16
cold,pcie,65536,1,65536,OK,2026-08-21 21:11:35,2026-08-21 21:11:43,90184986,90184986,30111000.000000,30111000.000000,60073986.000000,0.333880408874,0.333880408874,0.000726684151173,2,2,2,2,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_65536_qd1
cold,pcie,65536,2,131072,OK,2026-08-21 21:11:43,2026-08-21 21:11:53,102799987,102799987,42729000.000000,60248000.000000,60070987.000000,0.415651803536,0.586070113024,0.00127501961649,4,4,4,4,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_65536_qd2
cold,pcie,65536,4,262144,OK,2026-08-21 21:11:53,2026-08-21 21:12:03,143004989,143004989,85399000.000000,135503000.000000,57605989.000000,0.597174969889,0.947540368679,0.0018331108714,8,8,8,8,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_65536_qd4
cold,pcie,65536,8,524288,OK,2026-08-21 21:12:03,2026-08-21 21:12:15,208465993,208465993,153342000.000000,346175000.000000,55123993.000000,0.735573211694,1.6605825968,0.00251498094464,16,16,16,16,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_65536_qd8
cold,pcie,65536,16,1048576,OK,2026-08-21 21:12:15,2026-08-21 21:12:30,354299001,354299001,291491001.000000,1007700000.000000,62808000.000000,0.822726003114,2.84420785031,0.00295957933,32,32,32,32,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_65536_qd16
cold,pcie,262144,1,262144,OK,2026-08-21 21:12:30,2026-08-21 21:12:44,218096986,218096986,120223000.000000,120223000.000000,97873986.000000,0.551236411859,0.551236411859,0.00120196067267,2,2,2,2,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_262144_qd1
cold,pcie,262144,2,524288,OK,2026-08-21 21:12:44,2026-08-21 21:13:04,268515987,268515987,170654000.000000,240473000.000000,97861987.000000,0.635545026226,0.895563063811,0.00195253923559,4,4,4,4,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_262144_qd2
cold,pcie,262144,4,1048576,OK,2026-08-21 21:13:04,2026-08-21 21:13:45,429379989,429379989,341237000.000000,541015000.000000,88142989.000000,0.794720314737,1.25999118231,0.0024420700239,8,8,8,8,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_262144_qd4
cold,pcie,262144,8,2097152,OK,2026-08-21 21:13:45,2026-08-21 21:14:47,691067993,691067993,590382000.000000,1382455000.000000,100685993.000000,0.854303781943,2.00046162462,0.00303465363936,16,16,16,16,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_262144_qd8
cold,pcie,262144,16,4194304,OK,2026-08-21 21:14:47,2026-08-21 21:17:02,1299872001,1299872001,1074254001.000000,4029316000.000000,225618000.000000,0.826430602531,3.09977905278,0.0032267053962,32,32,32,32,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_262144_qd16
cold,pcie,1048576,1,1048576,OK,2026-08-21 21:17:02,2026-08-21 21:18:47,729744986,729744986,480671000.000000,480671000.000000,249073986.000000,0.658683525371,0.658683525371,0.00143690744043,2,2,2,2,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_1048576_qd1
cold,pcie,1048576,2,2097152,OK,2026-08-21 21:18:47,2026-08-21 21:22:04,931357987,931357987,682287000.000000,961372000.000000,249070987.000000,0.732572232722,1.03222607571,0.00225171419505,4,4,4,4,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_1048576_qd2
cold,pcie,1048576,4,4194304,OK,2026-08-21 21:22:04,2026-08-21 21:30:02,1599843989,1599843989,1389526000.000000,2163021000.000000,210317989.000000,0.868538438469,1.35201995624,0.00262169563335,8,8,8,8,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_1048576_qd4
cold,pcie,1048576,8,8388608,OK,2026-08-21 21:30:02,2026-08-21 21:45:18,2646575993,2646575993,2217908993.000000,5527799000.000000,428667000.000000,0.838029589502,2.08866059944,0.00316960783374,16,16,16,16,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_1048576_qd8
cold,pcie,1048576,16,16777216,OK,2026-08-21 21:45:18,2026-08-21 22:16:36,4981314001,4981314001,4172676001.000000,16112665000.000000,808638000.000000,0.837665724378,3.23462142655,0.0033680302018,32,32,32,32,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_1048576_qd16
cold,pcie,4194304,1,4194304,OK,2026-08-21 22:16:36,2026-08-21 22:38:22,2801336986,2801336986,1922463000.000000,1922463000.000000,878873986.000000,0.686266239873,0.686266239873,0.00149725078452,2,2,2,2,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_4194304_qd1
cold,pcie,4194304,2,8388608,OK,2026-08-21 22:38:22,2026-08-21 23:23:04,3608670987,3608670987,2729829987.000000,3846764000.000000,878841000.000000,0.756464082438,1.06597803287,0.00232456991236,4,4,4,4,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_4194304_qd2
cold,pcie,4194304,4,16777216,OK,2026-08-21 23:23:04,2026-08-22 01:22:01,6181732989,6181732989,5375370989.000000,8651088000.000000,806362000.000000,0.869557290579,1.39945999211,0.0027139988139,8,8,8,8,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_4194304_qd4
cold,pcie,4194304,8,33554432,OK,2026-08-22 01:22:01,2026-08-22 05:15:56,10368523993,10368523993,8752840993.000000,22108365000.000000,1615683000.000000,0.844174252662,2.13225768826,0.00323618212415,16,16,16,16,,/home/csld/SIM/pcie_p_characterization_8ch_onfi52/cold_pcie_4194304_qd8
