variant,size_bytes,flit_bytes,packet_flits,delay_cycles,cycle_ps,latency_ns,effective_gbps,run_dir
ufs4,8,8,2,11,1379.31034483,15.1724137931,0.527272727273,/home/csld/SIM/ufs4_popnet_link_sweep/s_8
ufs4,16,8,3,12,1379.31034483,16.5517241379,0.966666666667,/home/csld/SIM/ufs4_popnet_link_sweep/s_16
ufs4,24,8,4,13,1379.31034483,17.9310344828,1.33846153846,/home/csld/SIM/ufs4_popnet_link_sweep/s_24
ufs4,32,8,5,14,1379.31034483,19.3103448276,1.65714285714,/home/csld/SIM/ufs4_popnet_link_sweep/s_32
ufs4,40,8,6,15,1379.31034483,20.6896551724,1.93333333333,/home/csld/SIM/ufs4_popnet_link_sweep/s_40
ufs4,48,8,7,16,1379.31034483,22.0689655172,2.175,/home/csld/SIM/ufs4_popnet_link_sweep/s_48
ufs4,56,8,8,17,1379.31034483,23.4482758621,2.38823529412,/home/csld/SIM/ufs4_popnet_link_sweep/s_56
ufs4,64,8,9,18,1379.31034483,24.8275862069,2.57777777778,/home/csld/SIM/ufs4_popnet_link_sweep/s_64
ufs4,72,8,10,19,1379.31034483,26.2068965517,2.74736842105,/home/csld/SIM/ufs4_popnet_link_sweep/s_72
ufs4,80,8,11,20,1379.31034483,27.5862068966,2.9,/home/csld/SIM/ufs4_popnet_link_sweep/s_80
ufs4,88,8,12,21,1379.31034483,28.9655172414,3.0380952381,/home/csld/SIM/ufs4_popnet_link_sweep/s_88
ufs4,96,8,13,22,1379.31034483,30.3448275862,3.16363636364,/home/csld/SIM/ufs4_popnet_link_sweep/s_96
ufs4,104,8,14,23,1379.31034483,31.724137931,3.27826086957,/home/csld/SIM/ufs4_popnet_link_sweep/s_104
ufs4,112,8,15,24,1379.31034483,33.1034482759,3.38333333333,/home/csld/SIM/ufs4_popnet_link_sweep/s_112
ufs4,120,8,16,25,1379.31034483,34.4827586207,3.48,/home/csld/SIM/ufs4_popnet_link_sweep/s_120
ufs4,128,8,17,26,1379.31034483,35.8620689655,3.56923076923,/home/csld/SIM/ufs4_popnet_link_sweep/s_128
ufs4,136,8,18,27,1379.31034483,37.2413793103,3.65185185185,/home/csld/SIM/ufs4_popnet_link_sweep/s_136
ufs4,144,8,19,28,1379.31034483,38.6206896552,3.72857142857,/home/csld/SIM/ufs4_popnet_link_sweep/s_144
ufs4,152,8,20,29,1379.31034483,40,3.8,/home/csld/SIM/ufs4_popnet_link_sweep/s_152
ufs4,160,8,21,30,1379.31034483,41.3793103448,3.86666666667,/home/csld/SIM/ufs4_popnet_link_sweep/s_160
ufs4,168,8,22,31,1379.31034483,42.7586206897,3.92903225806,/home/csld/SIM/ufs4_popnet_link_sweep/s_168
ufs4,176,8,23,32,1379.31034483,44.1379310345,3.9875,/home/csld/SIM/ufs4_popnet_link_sweep/s_176
ufs4,184,8,24,33,1379.31034483,45.5172413793,4.04242424242,/home/csld/SIM/ufs4_popnet_link_sweep/s_184
ufs4,192,8,25,34,1379.31034483,46.8965517241,4.09411764706,/home/csld/SIM/ufs4_popnet_link_sweep/s_192
ufs4,200,8,26,35,1379.31034483,48.275862069,4.14285714286,/home/csld/SIM/ufs4_popnet_link_sweep/s_200
ufs4,208,8,27,36,1379.31034483,49.6551724138,4.18888888889,/home/csld/SIM/ufs4_popnet_link_sweep/s_208
ufs4,216,8,28,37,1379.31034483,51.0344827586,4.23243243243,/home/csld/SIM/ufs4_popnet_link_sweep/s_216
ufs4,224,8,29,38,1379.31034483,52.4137931034,4.27368421053,/home/csld/SIM/ufs4_popnet_link_sweep/s_224
ufs4,232,8,30,39,1379.31034483,53.7931034483,4.31282051282,/home/csld/SIM/ufs4_popnet_link_sweep/s_232
ufs4,240,8,31,40,1379.31034483,55.1724137931,4.35,/home/csld/SIM/ufs4_popnet_link_sweep/s_240
ufs4,248,8,32,41,1379.31034483,56.5517241379,4.38536585366,/home/csld/SIM/ufs4_popnet_link_sweep/s_248
ufs4,256,8,33,42,1379.31034483,57.9310344828,4.41904761905,/home/csld/SIM/ufs4_popnet_link_sweep/s_256
ufs4,264,8,34,43,1379.31034483,59.3103448276,4.4511627907,/home/csld/SIM/ufs4_popnet_link_sweep/s_264
ufs4,272,8,35,44,1379.31034483,60.6896551724,4.48181818182,/home/csld/SIM/ufs4_popnet_link_sweep/s_272
ufs4,280,8,36,45,1379.31034483,62.0689655172,4.51111111111,/home/csld/SIM/ufs4_popnet_link_sweep/s_280
ufs4,288,8,37,46,1379.31034483,63.4482758621,4.53913043478,/home/csld/SIM/ufs4_popnet_link_sweep/s_288
ufs4,296,8,38,47,1379.31034483,64.8275862069,4.56595744681,/home/csld/SIM/ufs4_popnet_link_sweep/s_296
ufs4,304,8,39,48,1379.31034483,66.2068965517,4.59166666667,/home/csld/SIM/ufs4_popnet_link_sweep/s_304
ufs4,312,8,40,49,1379.31034483,67.5862068966,4.61632653061,/home/csld/SIM/ufs4_popnet_link_sweep/s_312
ufs4,320,8,41,50,1379.31034483,68.9655172414,4.64,/home/csld/SIM/ufs4_popnet_link_sweep/s_320
ufs4,328,8,42,51,1379.31034483,70.3448275862,4.66274509804,/home/csld/SIM/ufs4_popnet_link_sweep/s_328
