memory_mode,variant,size_bytes,queue_depth,total_bytes,status,started_at_taipei,done_at_taipei,final_cycle,t_request_cycle,t_link_occupied_cycle,t_link_sum_cycle,t_nonlink_wall_cycle,p_link_occupied_fraction,link_sum_over_request,throughput_bytes_per_cycle,bench_records,delay_records,popnet_tx_count,popnet_finished,error,run_dir
cold,ufs4,4096,1,4096,OK,2026-09-09 11:11:06,2026-09-09 11:11:16,49618813,49618813,744827.586207,744827.586207,48873985.413793,0.0150109916214,0.0150109916214,8.25493346647e-05,2,2,2,2,,/home/csld/SIM/ufs4_vs_ucie_e2e_qd1/cold_ufs4_4096_qd1
cold,ucie,4096,1,4096,OK,2026-09-09 11:11:16,2026-09-09 11:11:22,48959986,48959986,86000.000000,86000.000000,48873986.000000,0.00175653644999,0.00175653644999,8.36601546414e-05,2,2,2,2,,/home/csld/SIM/ufs4_vs_ucie_e2e_qd1/cold_ucie_4096_qd1
cold,ufs4,16384,1,16384,OK,2026-09-09 11:11:22,2026-09-09 11:11:31,53837433,53837433,2863448.275862,2863448.275862,50973984.724138,0.0531869392038,0.0531869392038,0.000304323573526,2,2,2,2,,/home/csld/SIM/ufs4_vs_ucie_e2e_qd1/cold_ufs4_16384_qd1
cold,ucie,16384,1,16384,OK,2026-09-09 11:11:31,2026-09-09 11:11:40,51251986,51251986,278000.000000,278000.000000,50973986.000000,0.00542418005031,0.00542418005031,0.000319675417066,2,2,2,2,,/home/csld/SIM/ufs4_vs_ucie_e2e_qd1/cold_ucie_16384_qd1
cold,ufs4,65536,1,65536,OK,2026-09-09 11:11:40,2026-09-09 11:11:50,71411916,71411916,11337931.034483,11337931.034483,60073984.965517,0.158768055383,0.158768055383,0.00091771798981,2,2,2,2,,/home/csld/SIM/ufs4_vs_ucie_e2e_qd1/cold_ufs4_65536_qd1
cold,ucie,65536,1,65536,OK,2026-09-09 11:11:50,2026-09-09 11:11:59,61119986,61119986,1046000.000000,1046000.000000,60073986.000000,0.0171138782656,0.0171138782656,0.00107225155451,2,2,2,2,,/home/csld/SIM/ufs4_vs_ucie_e2e_qd1/cold_ucie_65536_qd1
cold,ufs4,262144,1,262144,OK,2026-09-09 11:11:59,2026-09-09 11:12:09,143109847,143109847,45235862.068966,45235862.068966,97873984.931034,0.316091890371,0.316091890371,0.00183176773294,2,2,2,2,,/home/csld/SIM/ufs4_vs_ucie_e2e_qd1/cold_ufs4_262144_qd1
cold,ucie,262144,1,262144,OK,2026-09-09 11:12:09,2026-09-09 11:12:18,101991986,101991986,4118000.000000,4118000.000000,97873986.000000,0.0403757212846,0.0403757212846,0.00257024115601,2,2,2,2,,/home/csld/SIM/ufs4_vs_ucie_e2e_qd1/cold_ucie_262144_qd1
cold,ufs4,1048576,1,1048576,OK,2026-09-09 11:12:18,2026-09-09 11:12:27,429901571,429901571,180827586.206897,180827586.206897,249073984.793103,0.420625553394,0.420625553394,0.00243910716018,2,2,2,2,,/home/csld/SIM/ufs4_vs_ucie_e2e_qd1/cold_ufs4_1048576_qd1
cold,ucie,1048576,1,1048576,OK,2026-09-09 11:12:27,2026-09-09 11:12:36,265479986,265479986,16406000.000000,16406000.000000,249073986.000000,0.0617975021288,0.0617975021288,0.00394973653494,2,2,2,2,,/home/csld/SIM/ufs4_vs_ucie_e2e_qd1/cold_ucie_1048576_qd1
cold,ufs4,4194304,1,4194304,OK,2026-09-09 11:12:36,2026-09-09 11:12:46,1577068468,1577068468,723194482.758621,723194482.758621,853873985.241379,0.458568855717,0.458568855717,0.00265955732748,2,2,2,2,,/home/csld/SIM/ufs4_vs_ucie_e2e_qd1/cold_ufs4_4194304_qd1
cold,ucie,4194304,1,4194304,OK,2026-09-09 11:12:46,2026-09-09 11:12:56,919431986,919431986,65558000.000000,65558000.000000,853873986.000000,0.0713027184155,0.0713027184155,0.00456184259833,2,2,2,2,,/home/csld/SIM/ufs4_vs_ucie_e2e_qd1/cold_ucie_4194304_qd1
