memory_mode,variant,size_bytes,queue_depth,total_bytes,status,started_at_taipei,done_at_taipei,final_cycle,t_request_cycle,t_link_occupied_cycle,t_link_sum_cycle,t_nonlink_wall_cycle,p_link_occupied_fraction,link_sum_over_request,throughput_bytes_per_cycle,bench_records,delay_records,popnet_tx_count,popnet_finished,error,run_dir
cold,ufs4,131072,1,131072,OK,2026-09-09 20:32:48,2026-09-09 20:32:57,95311226,95311226,22637241.379310,22637241.379310,72673984.620690,0.237508657997,0.237508657997,0.00137520002103,2,2,2,2,,/home/csld/SIM/ufs4_vs_ucie_qd_sweep_128kb/cold_ufs4_131072_qd1
cold,ucie,131072,1,131072,OK,2026-09-09 20:32:57,2026-09-09 20:33:06,74743986,74743986,2070000.000000,2070000.000000,72673986.000000,0.027694535852,0.027694535852,0.00175361265855,2,2,2,2,,/home/csld/SIM/ufs4_vs_ucie_qd_sweep_128kb/cold_ucie_131072_qd1
cold,ufs4,131072,2,262144,OK,2026-09-09 20:33:06,2026-09-09 20:33:16,120523641,120523641,45262068.965517,45296551.724138,75261572.034483,0.375545151059,0.375831258899,0.00217504215625,4,4,4,4,,/home/csld/SIM/ufs4_vs_ucie_qd_sweep_128kb/cold_ufs4_131072_qd2
cold,ucie,131072,2,262144,OK,2026-09-09 20:33:16,2026-09-09 20:33:25,99945987,99945987,4131000.000000,4143000.000000,95814987.000000,0.0413323248286,0.0414523896792,0.00262285668358,4,4,4,4,,/home/csld/SIM/ufs4_vs_ucie_qd_sweep_128kb/cold_ucie_131072_qd2
cold,ufs4,131072,4,524288,OK,2026-09-09 20:33:25,2026-09-09 20:33:35,170948470,170948470,90511724.137931,90652413.793103,80436745.862069,0.529467880806,0.530290875333,0.0030669359018,8,8,8,8,,/home/csld/SIM/ufs4_vs_ucie_qd_sweep_128kb/cold_ufs4_131072_qd4
cold,ucie,131072,4,524288,OK,2026-09-09 20:33:35,2026-09-09 20:33:45,150349989,150349989,8253000.000000,8292000.000000,142096989.000000,0.054891922872,0.0551513176366,0.00348711698276,8,8,8,8,,/home/csld/SIM/ufs4_vs_ucie_qd_sweep_128kb/cold_ucie_131072_qd4
cold,ufs4,131072,8,1048576,OK,2026-09-09 20:33:45,2026-09-09 20:33:55,271798130,271798130,181011034.482759,181515862.068966,90787095.517241,0.665976011251,0.6678333735,0.00385792205414,16,16,16,16,,/home/csld/SIM/ufs4_vs_ucie_qd_sweep_128kb/cold_ufs4_131072_qd8
cold,ucie,131072,8,1048576,OK,2026-09-09 20:33:55,2026-09-09 20:34:05,251157993,251157993,16497000.000000,16620000.000000,234660993.000000,0.0656837546874,0.0661734862645,0.00417496567589,16,16,16,16,,/home/csld/SIM/ufs4_vs_ucie_qd_sweep_128kb/cold_ucie_131072_qd8
cold,ufs4,131072,16,2097152,OK,2026-09-09 20:34:05,2026-09-09 20:34:15,473497448,473497448,362009655.172414,363844137.931035,111487792.827586,0.764544047072,0.768418371562,0.00442906716574,32,32,32,32,,/home/csld/SIM/ufs4_vs_ucie_qd_sweep_128kb/cold_ufs4_131072_qd16
cold,ucie,131072,16,2097152,OK,2026-09-09 20:34:15,2026-09-09 20:34:21,452775001,452775001,32986000.000000,33370000.000000,419789001.000000,0.0728529621272,0.0737010654879,0.00463177515404,32,32,32,32,,/home/csld/SIM/ufs4_vs_ucie_qd_sweep_128kb/cold_ucie_131072_qd16
cold,ufs4,131072,32,4194304,OK,2026-09-09 20:34:21,2026-09-09 20:34:33,876898843,876898843,724009655.172414,730824827.586207,152889187.827586,0.825647862296,0.833419764914,0.00478311042771,64,64,64,64,,/home/csld/SIM/ufs4_vs_ucie_qd_sweep_128kb/cold_ufs4_131072_qd32
cold,ucie,131072,32,4194304,OK,2026-09-09 20:34:33,2026-09-09 20:34:39,856010017,856010017,65965000.000000,67258000.000000,790045017.000000,0.0770610141119,0.0785715104546,0.00489983051215,64,64,64,64,,/home/csld/SIM/ufs4_vs_ucie_qd_sweep_128kb/cold_ucie_131072_qd32
cold,ufs4,131072,64,8388608,RUNNING,2026-09-09 20:34:39,,,,,,,,,,,,,,,/home/csld/SIM/ufs4_vs_ucie_qd_sweep_128kb/cold_ufs4_131072_qd64
cold,ucie,131072,64,8388608,PENDING,,,,,,,,,,,,,,,,/home/csld/SIM/ufs4_vs_ucie_qd_sweep_128kb/cold_ucie_131072_qd64
cold,ufs4,131072,128,16777216,PENDING,,,,,,,,,,,,,,,,/home/csld/SIM/ufs4_vs_ucie_qd_sweep_128kb/cold_ufs4_131072_qd128
cold,ucie,131072,128,16777216,PENDING,,,,,,,,,,,,,,,,/home/csld/SIM/ufs4_vs_ucie_qd_sweep_128kb/cold_ucie_131072_qd128
